class,file,source,title,creator,license,license_url,page
jollof_rice,jollof_rice_web_0000.jpg,Wikimedia Commons,File:A Nigeria Jollof Rice with chicken.jpg,Ei'eke,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:A_Nigeria_Jollof_Rice_with_chicken.jpg
jollof_rice,jollof_rice_web_0001.jpg,Wikimedia Commons,File:Ghana Jollof Rice with Chicken.jpg,Queen Murja10,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Ghana_Jollof_Rice_with_Chicken.jpg
jollof_rice,jollof_rice_web_0002.jpg,Wikimedia Commons,File:Ghanaian Jollof Rice.jpg,Charles Haynes,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Ghanaian_Jollof_Rice.jpg
jollof_rice,jollof_rice_web_0003.jpg,Wikimedia Commons,File:JOLLOF RICE AND BEEF.jpg,Linason Blessing,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:JOLLOF_RICE_AND_BEEF.jpg
jollof_rice,jollof_rice_web_0004.jpg,Wikimedia Commons,File:JOLLOF RICE SERVED WITH FISH.jpg,Obihoja,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:JOLLOF_RICE_SERVED_WITH_FISH.jpg
jollof_rice,jollof_rice_web_0005.jpg,Wikimedia Commons,File:JOLLOF RICE WITH CHICKEN.jpg,DromoTetteh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:JOLLOF_RICE_WITH_CHICKEN.jpg
jollof_rice,jollof_rice_web_0006.jpg,Wikimedia Commons,File:Jollof (Jollof- Rice).jpg,DromoTetteh,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_(Jollof-_Rice).jpg
jollof_rice,jollof_rice_web_0007.jpg,Wikimedia Commons,File:Jollof 001.jpg,Azorbli,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_001.jpg
jollof_rice,jollof_rice_web_0008.jpg,Wikimedia Commons,File:Jollof rice.jpg,"Salamisa, en.wikipedia",Public domain,,https://commons.wikimedia.org/wiki/File:Jollof_rice.jpg
jollof_rice,jollof_rice_web_0009.jpg,Wikimedia Commons,File:Jollof rice and Dodo.jpg,Skarfmacaronne,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_rice_and_Dodo.jpg
jollof_rice,jollof_rice_web_0010.jpg,Wikimedia Commons,File:Jollof rice and beans with spinach.jpg,Halima Waziri,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_rice_and_beans_with_spinach.jpg
jollof_rice,jollof_rice_web_0011.jpg,Wikimedia Commons,File:Jollof rice and meat.jpg,Beendy234,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_rice_and_meat.jpg
jollof_rice,jollof_rice_web_0012.jpg,Wikimedia Commons,File:Jollof rice and tomato stew.jpg,Maame1Yaa,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_rice_and_tomato_stew.jpg
jollof_rice,jollof_rice_web_0013.jpg,Wikimedia Commons,File:Jollof rice and veggies.jpg,daSupremo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_rice_and_veggies.jpg
jollof_rice,jollof_rice_web_0014.jpg,Wikimedia Commons,File:Jollof rice with beef.jpg,Halima Waziri,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Jollof_rice_with_beef.jpg
